frame.number,frame.time_relative,_ws.col.protocol,ip.src,ip.dst,udp.dstport,vxlan.vni,arp.src.proto_ipv4,arp.dst.proto_ipv4,icmp.type
81,56.911647000,ARP,20.0.0.1,20.0.0.2,4789,33,10.0.0.1,10.0.0.3,
82,57.016695000,ARP,,,,,20.0.0.1,20.0.0.2,
83,57.017713000,ARP,,,,,20.0.0.2,20.0.0.1,
84,57.179556000,ICMP,20.0.0.1\,11.0.0.1,20.0.0.2\,11.0.0.3,4789,66,,,8
85,57.180579000,ICMP,20.0.0.2\,11.0.0.3,20.0.0.1\,11.0.0.1,4789,66,,,0
86,57.957220000,ICMPv6,21.0.0.1,239.1.1.3,4789,33,,,
87,58.181006000,ICMP,20.0.0.1\,11.0.0.1,20.0.0.2\,11.0.0.3,4789,66,,,8
88,58.183274000,ICMP,20.0.0.2\,11.0.0.3,20.0.0.1\,11.0.0.1,4789,66,,,0
89,59.062192000,ARP,,,,,20.0.0.1,20.0.0.254,
90,59.062692000,ARP,,,,,20.0.0.254,20.0.0.1,
91,59.236371000,ARP,21.0.0.1,20.0.0.1,4789,33,10.0.0.6,10.0.0.2,
92,59.236882000,ARP,20.0.0.1,21.0.0.1,4789,33,10.0.0.2,10.0.0.6,
93,61.262330000,ARP,20.0.0.2,20.0.0.1,4789,66,11.0.0.3,11.0.0.1,
94,61.262946000,ARP,20.0.0.1,20.0.0.2,4789,66,11.0.0.1,11.0.0.3,
95,64.695463000,ICMPv6,20.0.0.1,239.1.1.3,4789,33,,,
97,65.878591000,ICMPv6,20.0.0.2,239.1.1.3,4789,33,,,
98,67.927493000,ICMPv6,20.0.0.2,239.1.1.6,4789,66,,,
99,68.278729000,ICMPv6,20.0.0.1,239.1.1.6,4789,66,,,
100,74.599153000,ICMPv6,21.0.0.1,239.1.1.3,4789,33,,,
103,87.104657000,IGMPv2,20.0.0.254,224.0.0.1,,,,,
104,89.683617000,IGMPv2,20.0.0.2,239.1.1.3,,,,,
105,91.320802000,IGMPv2,20.0.0.1,239.1.1.6,,,,,
106,93.332638000,IGMPv2,20.0.0.254,224.0.1.40,,,,,
107,96.081716000,ICMPv6,20.0.0.2,239.1.1.3,4789,33,,,
